Color,Magnitude
4.456438136541649442e-01,2.471459360868701793e+01
7.587721027074145752e-01,2.460421550353004605e+01
2.492460907442861640e-02,2.531688490784597789e+01
3.575056920295338614e-01,2.506468375014429029e+01
7.405399678455530932e-01,2.500807996165364244e+01
6.438504972090726142e-01,2.514649242053796030e+01
2.802668716398173387e-01,2.502527435610113926e+01
1.969949297314919079e-01,2.482348022516778130e+01
-1.600535668379734489e-01,2.540551824657008240e+01
-1.386109182637458304e+00,2.611791772458048300e+01
2.534387055559861324e-02,2.525394860112635342e+01
5.664827737282607245e-02,2.485456549830720263e+01
-6.783247820888398394e-01,2.535142513100016970e+01
4.487330831322680069e-01,2.514627715551242915e+01
4.530715570700962758e-01,2.493601250049222529e+01
2.516559990726783269e-01,2.508314158253229564e+01
4.231357994450739568e-01,2.511544087590128527e+01
-3.146943450353489879e-03,2.508747587697743953e+01
-3.969588352930877306e-01,2.518687141211934843e+01
-1.692976482211996370e-01,2.535196319630170336e+01
2.357617307551969077e-01,2.515274875997117476e+01
5.039961164041173447e-02,2.504666169343810012e+01
7.116337217697399353e-01,2.484654282340155973e+01
-4.421308850918030942e-01,2.577317835957247638e+01
6.774796187667000424e-01,2.440048285514577842e+01
-7.167651425296739376e-02,2.511028870009428005e+01
-1.278862346744098488e-01,2.509083108585491217e+01
1.765201020745905680e-01,2.477521620805033109e+01
5.320197933952961478e-01,2.488861600619780035e+01
-7.951665982641031860e-02,2.516328176726907984e+01
4.858008757637861663e-01,2.493195074993778348e+01
-4.711690968105131105e-02,2.479352245307148905e+01
2.705343080998687810e-01,2.514758655046142266e+01
-4.899274149134242862e-01,2.560323098660332874e+01
-5.231659192158311100e-01,2.537127211471450394e+01
2.872472394924017181e-01,2.491952506161310765e+01
-1.986981129552454206e-01,2.525427171008796989e+01
4.411891271469592368e-01,2.477549746468765690e+01
4.969584977488494815e-02,2.537778675328220856e+01
-6.524443991654038655e-01,2.541371055866182971e+01
-1.258365633795470728e-01,2.455204039246193304e+01
-5.088946848476680884e-01,2.509963450504025673e+01
3.525034531503834501e-01,2.508605819036693774e+01
-1.365261142852141063e-01,2.546900272882183813e+01
-1.586066110781239047e-01,2.518058232610926339e+01
3.595178610741420755e-01,2.473133290558874364e+01
3.073644009901954632e-03,2.494472719609175826e+01
-8.212851125608331415e-01,2.615042102541691094e+01
-3.143046963191942211e-01,2.510685916370972137e+01
5.639823695777792523e-01,2.473479774327326908e+01
-3.492461506887636347e-01,2.510354381841225191e+01
1.005498760096763533e-01,2.507994559897097986e+01
1.155084510313102442e-01,2.472021969831832067e+01
1.023388925685928541e-01,2.536653084690234650e+01
7.087145491880590953e-01,2.484321254639700527e+01
2.053780131080067406e-01,2.515518524886805096e+01
-3.699937257690706360e-01,2.461862297130323540e+01
4.982876600805106193e-01,2.498703401763881971e+01
-2.644287025524789669e-01,2.458166300015708217e+01
8.779172094728089348e-01,2.497993185796434901e+01
2.875237401169918883e-01,2.515198739856145949e+01
2.870657242066805281e-01,2.517808466259519662e+01
2.253341817329861385e-01,2.512802372861764155e+01
1.083333451283401416e-01,2.498929461360508952e+01
-3.945046016197863992e-01,2.538724736888051225e+01
-5.044754513212410529e-01,2.506165199391607246e+01
6.567153313224523004e-01,2.480145121433349331e+01
3.385937026632710456e-01,2.533098037677333636e+01
-1.370390038687219203e-02,2.512806627947242433e+01
-2.564048486594217025e-02,2.493592591825496996e+01
2.788892834823144540e-01,2.510293921901746472e+01
-2.366888062375167578e-01,2.518487212134104425e+01
-1.014769940896051992e-01,2.548478801187371445e+01
1.679959461639271012e-01,2.537841294021302474e+01
-1.499035254116520832e-02,2.522848988826310546e+01
4.281421452425604457e-03,2.544278884627271609e+01
5.709450956523696163e-01,2.525322554742871262e+01
7.335395022942847731e-01,2.492692327286108167e+01
4.963627860746129272e-01,2.493856994554719009e+01
-9.713121319972017886e-02,2.506592942931241197e+01
-5.383004437958618382e-01,2.507779433564279259e+01
5.991717552385686929e-01,2.465666120558037733e+01
-5.480024306696051895e-02,2.503694920883618025e+01
5.556059017921022303e-01,2.462962174004965732e+01
1.876817869655873494e-01,2.531626125955122930e+01
3.624012876559490337e-01,2.464554548506319520e+01
4.363093324458233724e-01,2.455990636488709811e+01
2.326308965064463052e-01,2.525659199435326130e+01
-2.344083073519449556e-01,2.550909508633228384e+01
7.091090621244688919e-03,2.506713669557452562e+01
2.017036857470486666e-01,2.475925730006153813e+01
1.312850322269980552e-01,2.543423258074795257e+01
-4.300857463944502967e-01,2.557361162948350497e+01
6.292545114862129196e-01,2.521342675401435685e+01
8.693815980510066765e-02,2.481002447765862229e+01
2.575958998217942053e-02,2.548831973810440843e+01
-1.038541380086819288e-01,2.524853419210244709e+01
7.318077648785958900e-01,2.472263131207403930e+01
1.662062932011423300e-01,2.490152507629433387e+01
-3.792476864540788029e-01,2.527504623907863390e+01
4.362342698893506565e-01,2.486829969531849116e+01
3.679946667070161936e-01,2.456984467572500819e+01
-1.127216615488535467e-02,2.514078910103929232e+01
3.560856557759066732e-01,2.470406006661465881e+01
1.094354111035528376e+00,2.433460510925185005e+01
-2.999571177013820034e-01,2.537186489226610320e+01
-7.996811211114263074e-02,2.490009734418012854e+01
-5.206976089855182011e-01,2.566148684643694722e+01
-4.211336049950382687e-01,2.542432048673434863e+01
5.309319886861132431e-01,2.485071392888063002e+01
5.504090259870189072e-01,2.539278070309627822e+01
8.543902841621822120e-01,2.488944172118527476e+01
6.950016738196396204e-01,2.461969231922325108e+01
-2.472623407872021062e-02,2.497936993725419441e+01
-2.846175335849601140e-01,2.515764878544370831e+01
1.577094567198855657e-02,2.491060902691198464e+01
-6.922648368444939138e-02,2.528387882619409766e+01
1.207802285537376008e-01,2.501841175068554080e+01
8.737503732311076021e-01,2.436977819114548538e+01
-7.362029193599148869e-01,2.551414478826190546e+01
-3.780709683780969499e-03,2.462284152006536431e+01
3.950661678234332896e-01,2.493993910452546814e+01
-6.089039794052339971e-01,2.507632497070896704e+01
1.993634131955204225e-01,2.497902818581397710e+01
-7.162411511051303137e-02,2.521322574032654984e+01
-2.120310210277764895e-01,2.534532497388518735e+01
3.955348158771592182e-01,2.497054412735603890e+01
4.545534842437426448e-01,2.471989181683023062e+01
-4.192522323124130423e-01,2.561219858761620571e+01
2.342446295554090341e-01,2.495220757436308645e+01
-4.237141598230707018e-01,2.561565892524539123e+01
-1.746622476954442504e-01,2.515012856285837728e+01
-3.613959234595895964e-01,2.515006605298299647e+01
2.221738118978286991e-01,2.536433140779688600e+01
-4.264117600348882320e-02,2.549510384985401501e+01
3.685937821542850656e-01,2.485041826331799086e+01
-3.556573534999927233e-01,2.500111657045715674e+01
9.044832219260356965e-02,2.469057970268389468e+01
-4.132287391837756729e-01,2.545878812205182129e+01
-1.616122378275441918e-01,2.524091414918008169e+01
-3.482007725510634089e-01,2.545131441707404107e+01
-3.509477563838245828e-01,2.514731082295590170e+01
2.135198215402986932e-01,2.515755984423943659e+01
-6.394512605467141952e-01,2.491925122450563634e+01
-5.008845362684972713e-01,2.563382999694076858e+01
-3.967699102482669105e-01,2.550079217926012376e+01
8.398925673809145565e-01,2.470675737889347801e+01
-3.966092510140448724e-01,2.520447298798799096e+01
1.400987426777433598e-02,2.502555321214448014e+01
6.417811372002759640e-01,2.477432886307164850e+01
6.907406186970277417e-02,2.512701095396007389e+01
-3.460096451166023712e-01,2.561064385240865704e+01
2.240691451544236656e-01,2.472770328590286226e+01
-3.457106204821194240e-01,2.536681725176595847e+01
1.525484487635964115e-01,2.528099476712283078e+01
