Color,Magnitude
-8.377822636475862339e-01,2.571973279104165755e+01
2.904058830392912682e-01,2.467791761863390576e+01
6.065566259761041579e-01,2.489442957066925288e+01
2.518032979472906163e-02,2.531887951052426189e+01
-1.268092776133755706e-01,2.518756726954388370e+01
-3.325585238615538231e-01,2.486815360561332255e+01
1.187559659750299090e-01,2.525176304421796658e+01
-2.633148924347850084e-02,2.480096667344541927e+01
-8.998876317910031730e-02,2.507409114257239935e+01
4.665039561450612382e-01,2.458657646842929623e+01
2.633009299166140238e-01,2.502140816984507765e+01
-6.402696102180591708e-01,2.560255910596871942e+01
-7.973882973675827657e-02,2.551307138829713139e+01
2.066049755634935536e-02,2.496784107838008637e+01
-2.871653538034735220e-01,2.524431632256069946e+01
-3.048321182776092542e-02,2.490198921687805012e+01
-2.216455508140953157e-01,2.537875931202240309e+01
1.986923071769126636e-01,2.517313314381436129e+01
3.259289060449219733e-01,2.435030522907220529e+01
3.981862004591967263e-01,2.523448497711444816e+01
-2.992520063405734732e-01,2.525156369222981567e+01
6.054242036185506493e-01,2.461113854284315394e+01
3.622667981101663770e-01,2.474794770124241694e+01
-2.084760441955886279e-01,2.533439689030800324e+01
1.686395897588113257e-01,2.541184235707713412e+01
2.319752657832587772e-01,2.490351733756832076e+01
-6.890829957142834417e-01,2.568913698392764644e+01
-5.208112862676195221e-01,2.565554000611898289e+01
1.690258346579476267e-01,2.511131226602687150e+01
-3.099328004571013651e-01,2.542706745976112259e+01
2.577260076033347502e-01,2.483625610949009399e+01
-2.693342850004185607e-01,2.491811142674288959e+01
9.518115366921833242e-01,2.497164465913675713e+01
1.842889421870097522e-02,2.511821595839200683e+01
1.166913847597648157e-01,2.510311308865640356e+01
-7.337353823387822160e-01,2.528374547968241615e+01
-5.586398995857777550e-01,2.549613456972380021e+01
-5.238003655244689583e-01,2.569653223053816760e+01
-2.691898652818700555e-01,2.520076789415145768e+01
3.269393251906684839e-01,2.454167399897005453e+01
-1.397827353472571588e-01,2.520873666361366006e+01
-2.412454711251399431e-03,2.488639031169956084e+01
1.584267608303377983e-01,2.490963423150461509e+01
-9.782872152258192955e-02,2.476185133710398745e+01
2.340727727891902532e-01,2.526334059821992639e+01
-1.860851620306860355e-01,2.521543944429734552e+01
4.259185582945939075e-01,2.487776930320937296e+01
2.786094475067528720e-01,2.487855260979711147e+01
-4.398193739401854430e-01,2.494962046300628700e+01
-1.699047202186036998e-01,2.491179656645328322e+01
-5.754239844279140925e-02,2.515446350921276419e+01
-3.488126835635618761e-01,2.548808376320270241e+01
-4.424124328700429487e-01,2.514233483915250389e+01
5.501483844662864442e-01,2.521816383397148442e+01
