Color,Magnitude
-9.028138023481417918e-01,2.569555343751360255e+01
1.253127682082997296e-01,2.501626729559610496e+01
2.770666038106668339e-01,2.495878592386727490e+01
-1.545050719394396310e-01,2.525578745474965103e+01
8.691934896419724055e-01,2.444672923212139892e+01
-5.480095154303263882e-01,2.531749392584941560e+01
7.927453708962310941e-01,2.534434492608047407e+01
-1.026324362468322704e-01,2.550556316362619569e+01
-1.070118879043242544e-01,2.536754156668973792e+01
2.111450848797638002e-01,2.547751354981461347e+01
-3.811309268569829101e-02,2.537131291706045744e+01
1.085046142763914645e+00,2.504663608023455623e+01
-9.795620553007822195e-02,2.550240547815182524e+01
-8.436080451161203086e-01,2.556526247768816518e+01
4.746246986189674999e-01,2.502049394624169310e+01
-6.921170675915391257e-01,2.533027036781456687e+01
-2.260003949556192993e-01,2.524186505300797023e+01
1.724121256509221212e-01,2.539751728080150883e+01
-1.016682540903701693e-03,2.559190001615361254e+01
-6.768692120672064050e-01,2.566217515850944508e+01
9.687837840681012835e-02,2.542853980071870978e+01
-7.641230205137681253e-01,2.580933365438929883e+01
-4.230164895885835108e-01,2.538955059077311205e+01
8.237328373071157728e-01,2.480223869113256896e+01
-4.002620042945146395e-01,2.548494940783558960e+01
-7.839756000510789136e-02,2.526208565904437364e+01
-2.305008524877827369e-01,2.530475363233625075e+01
-8.866364813799521016e-02,2.528860630783643870e+01
-3.605054500417281815e-01,2.549793951347093923e+01
5.211255282513000964e-01,2.510416312562386310e+01
-1.653954406429889445e-01,2.564124463578702517e+01
5.630840283447646755e-01,2.540648300273149474e+01
1.209576225896142887e-01,2.549268748573351218e+01
-5.108975506884689821e-01,2.538537257925490209e+01
1.935922459255223771e-01,2.508367288309762699e+01
-6.706909951626585098e-01,2.542257196811467423e+01
9.919992788173814802e-02,2.449819019456876390e+01
3.734897364954292698e-02,2.554680553019891676e+01
3.034336579474938844e-03,2.516290459985146910e+01
1.026113384598531297e+00,2.460101948605077382e+01
-2.712199833420960715e-01,2.543584463834774212e+01
-2.009291829313966105e-01,2.537907346502667849e+01
-4.817382068772566583e-01,2.574303537242906259e+01
-9.304814371110694537e-01,2.573258458280299976e+01
-3.816145416056606621e-01,2.574521076800731834e+01
3.310925515992089174e-01,2.527032575437786832e+01
-3.418248237367542686e-01,2.535501477808376336e+01
2.712919372500266491e-02,2.520258621567840152e+01
2.059074983062743058e-01,2.521490231309983443e+01
-2.328218324158406460e-01,2.574544244078975908e+01
-1.192947117676474988e-01,2.555700769855987886e+01
4.156364694594252285e-01,2.530546818719002999e+01
-4.784492183415309796e-01,2.541902703429444799e+01
2.797635323565117460e-02,2.525915896888275824e+01
-5.562633440805093699e-01,2.529670055130404549e+01
-5.839707401093470196e-01,2.553471569910544758e+01
-1.097993395219489798e-01,2.555001671469118918e+01
-6.115425414143516036e-01,2.560399534618299811e+01
-4.265201415153860864e-01,2.548582484687294070e+01
-2.953903563962683165e-01,2.508810557232537519e+01
-3.394585020367912875e-02,2.515386886778743047e+01
-6.052003035908164463e-01,2.546640803194187441e+01
-3.706161020649005877e-01,2.534650296886120557e+01
3.973425463535562585e-01,2.511449274109938301e+01
-6.423343381157167187e-01,2.500183472082232328e+01
-2.559664048946928006e-01,2.557845390675174002e+01
4.751262437607159939e-01,2.527752284698666330e+01
1.293466793957485095e-01,2.522273025821396786e+01
2.704998911976730369e-01,2.493441624343768481e+01
4.844084477564614133e-01,2.459565151719858989e+01
-2.021528752801451390e-01,2.552785746223465679e+01
-9.677380798546728613e-01,2.545830945621247920e+01
-6.796866556524143732e-01,2.554645640028154219e+01
-3.796450999924481096e-01,2.558652259055488898e+01
1.377769013976646306e-01,2.477162264395156299e+01
-1.428707263682973405e-01,2.547010734551998468e+01
